year,Percentage_trend_through_year
1978,
1979,-25.701
1980,-3.115
1981,-5.763
1982,-0.467
1983,-2.67
1984,-5.758
1985,-6.175
1986,-5.075
1987,
1988,-2.016
1989,-1.392
1990,-1.805
1991,-2.367
1992,-1.723
1993,-1.426
1994,-1.275
1995,-1.629
1996,-1.928
1997,-1.873
1998,-2.13
1999,-2.408
2000,-2.594
2001,-2.827
2002,-2.897
2003,-2.94
2004,-2.976
2005,-3.167
2006,-3.449
2007,-3.617
2008,-3.576
2009,-3.593
2010,-3.743
2011,-3.723
2012,-3.74
2013,-3.678
2014,-3.552
2015,-3.53
2016,-3.671
2017,-3.699
2018,-3.677
2019,-3.636
2020,-3.63
2021,-3.514
2022,-3.462
2023,-3.383