Year,Area
1978,
1979,1290336.315
1980,1208354.722
1981,902012.612
1982,1132504.746
1983,932089.697
1984,992583.824
1985,959957.956
1986,1176340.473
1987,1211622.716
1989,820073.301
1990,885378.424
1991,963950.726
1992,674666.694
1993,771709.717
1994,886191.355
1995,876680.248
1996,857594.339
1997,802303.1
1998,774404.772
1999,870432.267
2000,1051553.716
2001,985419.053
2002,882210.931
2003,736659.716
2004,973605.493
2005,1065365.694
2006,697158.425
2007,680112.316
2008,696359.114
2009,679511.441
2010,724399.457
2011,1139523.555
2012,816176.901
2013,828505.815
2014,1141660.402
2015,877869.772
2016,1040431.623
2017,627568.163
2018,1058397.327
2019,940208.403
2020,919404.035
2021,1070578.743
2022,690656.538
2023,611628.845
2024,857577.276